"","Compounds","GEM_id","HMDB_id","Cell_Compartment","Synthetic_genes","Transporter_genes","Transporter_genes_in","Receptor_genes","Synonyms","Synthetic_genes_lv2","precursor_transport"
"1","Deoxycytidine","MAM01668","HMDB0000014","c,l,m,n,e",",,,,,,,,,,ACP2","SLC29A1,SLC29A2","","EPHA2","Deoxycytidine,4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one,2'-deoxycytidine,4-Amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2(1H)-one,dC,DCYD,2'-Deoxycytidine,1-(2-Deoxy-b-D-ribofuranosyl)cytosine,1-(2-Deoxy-beta-D-erythro-pentofuranosyl)-cytosine,1-(2-Deoxy-beta-D-ribofuranosyl)cytosine,1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-cytosine,1-(2-Deoxy-beta-delta-ribofuranosyl)cytosine,2-Deoxy-cytidine,4-Amino-1-(2-deoxy-b-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone,4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone,4-Amino-1-(2-deoxy-beta-delta-erythro-pentofuranosyl)-2(1H)-pyrimidinone,Cytosine deoxyribonucleoside,Cytosine deoxyriboside,Deoxy-cytidine,Deoxyribose cytidine,Desoxycytidine,Deoxyribonucleoside, cytosine,Deoxyriboside, cytosine","",""
"2","Inosine","MAM02170","HMDB0000195","c,m,e,l",",,,,,,,,,,CECR1,ADA","SLC29A1,SLC29A2","","SELP","Inosine,9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-3H-purin-6-one,inosine,9-beta-D-Ribofuranosyl-9H-purin-6-ol,9-beta-D-Ribofuranosylhypoxanthine,Hypoxanthine D-riboside,Hypoxanthosine,i,Inosin,Inosina,Inosinum,Inotin,9-b-D-Ribofuranosyl-9H-purin-6-ol,9-Β-D-ribofuranosyl-9H-purin-6-ol,9-b-D-Ribofuranosylhypoxanthine,9-Β-D-ribofuranosylhypoxanthine,(-)-Inosine,1,9-Dihydro-9-b-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-delta-ribofuranosyl-6H-purin-6-one,9-b-D-Ribofuranosyl-hypoxanthine,9-beta-D-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosylhypoxanthine,9beta-D-Ribofuranosylhypoxanthine,9beta-delta-Ribofuranosylhypoxanthine,Atorel,beta-D-Ribofuranoside hypoxanthine-9,beta-delta-Ribofuranoside hypoxanthine-9,beta-Inosine,HXR,Hypoxanthine 9-beta-D-ribofuranoside,Hypoxanthine 9-beta-delta-ribofuranoside,Hypoxanthine nucleoside,Hypoxanthine ribonucleoside,Hypoxanthine riboside,Hypoxanthine-9 beta-D-ribofuranoside,Hypoxanthine-9 beta-delta-ribofuranoside,Hypoxanthine-9-beta-D-ribofuranoside,Hypoxanthine-9-beta-delta-ribofuranoside,Hypoxanthine-9-D-ribofuranoside,Hypoxanthine-9-delta-ribofuranoside,Hypoxanthine-ribose,Indole-3-carboxaldehyde,Ino,Inosie,Iso-prinosine,Oxiamin,Panholic-L,Pantholic-L,Ribonosine,Selfer,Trophicardyl","",""
"3","Uridine","MAM03123","HMDB0000296","c,l,m,n,e",",,,,,,,,AICDA,CDA,APOBEC4","SLC29A1,SLC29A2","","P2RY6,HTR1A,HTR2A,TLR7","Uridine,1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione,uridine,1-beta-D-Ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-beta-D-Ribofuranosyluracil,beta-Uridine,u,Urd,Uridin,1-b-D-Ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-Β-D-ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-b-D-Ribofuranosyluracil,1-Β-D-ribofuranosyluracil,b-Uridine,Β-uridine,1-b-D-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione,1-beta-delta-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione,1-beta-delta-Ribofuranosyluracil,b-D-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1,beta-delta-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1,Allo uridine,Allo-uridine,Allouridine","",""
"4","Allopregnanolone","MAM00759","HMDB0001449","c",",AKR1C4","","","GABRA1;GABRG2;GABRB2,NR1I2,TRPM3","Allopregnanolone,1-[(1S,2S,5R,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]ethan-1-one,1-[(1S,2S,5R,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]ethanone,(3alpha,5alpha)-3-Hydroxypregnan-20-one,3alpha,5alpha-Tetrahydroprogesterone,3alpha,5alpha-THP,3alpha-Hydroxy-5alpha-dihydroprogesterone,3alpha-Hydroxy-5alpha-pregnan-20-one,3alpha-OH DHP,5alpha-Pregnan-3alpha-ol-20-one,Allopregnan-3alpha-ol-20-one,Allotetrahydroprogesterone,Brexanolona,Brexanolonum,SAGE-547,SGE-102,Zulresso,(3a,5a)-3-Hydroxypregnan-20-one,(3Α,5α)-3-hydroxypregnan-20-one,3a,5a-Tetrahydroprogesterone,3Α,5α-tetrahydroprogesterone,3a,5a-THP,3Α,5α-THP,3a-Hydroxy-5a-dihydroprogesterone,3Α-hydroxy-5α-dihydroprogesterone,3a-Hydroxy-5a-pregnan-20-one,3Α-hydroxy-5α-pregnan-20-one,3a-OH DHP,3Α-OH DHP,5a-Pregnan-3a-ol-20-one,5Α-pregnan-3α-ol-20-one,Allopregnan-3a-ol-20-one,Allopregnan-3α-ol-20-one,(+)-3a-Hydroxy-5a-pregnan-20-one,(3a)-Allopregnanolone,3-a-Tetrahydroprogesterone,3-alpha-Tetrahydroprogesterone,3a,5a-Pregnanolone,3a-Hydroxy-5a-pregnane-20-one,5a-Pregnane-3a-ol-20-one,3-Hydroxypregnan-20-one,alpha-Hydroxy-5 alpha-pregnan-20-one, 3,Pregnan-3alpha-ol-20-one,Pregnanolone, (3alpha)-isomer,3 Hydroxypregnan 20 one,3 alpha Hydroxy 5 alpha pregnan 20 one,3 alpha-Hydroxy-5 alpha-pregnan-20-one,Pregnan 3alpha ol 20 one,alpha-Pregnan-20-one, 3 alpha-hydroxy-5,(+)-3alpha-Hydroxy-5alpha-pregnan-20-one,(+)-3Α-hydroxy-5α-pregnan-20-one,(3alpha)-Allopregnanolone,(3Α)-allopregnanolone,3alpha,5alpha-Pregnanolone,3alpha-Hydroxy-5alpha-pregnane-20-one,3Α,5α-pregnanolone,3Α-hydroxy-5α-pregnane-20-one,5alpha-Pregnane-3alpha-ol-20-one,5Α-pregnane-3α-ol-20-one","HSD3B1,HSD3B2,AKR1C1",""
"5","Dihydroandrosterone","MAM01065","HMDB0000554","c,e",",AKR1C4","","","GPBAR1,ESR2,AR","Dihydroandrosterone,(1S,2S,5R,7S,10R,11S,14S,15S)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecane-5,14-diol,(3alpha,5alpha,17beta)-Androstane-3,17-diol,3alpha,17beta-Dihydroxy-5alpha-androstane,Hombreol,(3a,5a,17b)-Androstane-3,17-diol,(3Α,5α,17β)-androstane-3,17-diol,3a,17b-Dihydroxy-5a-androstane,3Α,17β-dihydroxy-5α-androstane,Adiol,Etiocholane-3a,17b-diol,3a,5a-Tetrahydrotestosterone,5a-Androstane-3a,17b-diol,5alpha-Androstane-3alpha,17beta-androstanediol,5alpha-Androstane-3alpha,17beta-diol,Androstane-3a,17b-diol,Etiocholane-3alpha,17beta-diol,3a-Androstanediol,3Α-androstanediol,5Α-androstane-3α,17β-diol","",""
"6","Alloepipregnanolone","MAM01314","HMDB0001455","c,r,e",",AKR1C4","","","NR1I2,TRPM3,GABRA1,GABRA2,GABRA4,GABRA6,GABRD,GABRG2","Alloepipregnanolone,1-[(1S,2S,5S,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]ethan-1-one,isopregnanolone,(3beta,5alpha)-3-Hydroxypregnan-20-one,3beta-Hydroxy-5alpha-pregnane-20-one,5alpha-Pregnan-3beta-ol-20-one,Allopregnan-3beta-ol-20-one,Epiallopregnanolone,3beta-Hydroxy-5alpha-pregnan-20-one,(3b,5a)-3-Hydroxypregnan-20-one,(3Β,5α)-3-hydroxypregnan-20-one,3b-Hydroxy-5a-pregnane-20-one,3Β-hydroxy-5α-pregnane-20-one,5a-Pregnan-3b-ol-20-one,5Α-pregnan-3β-ol-20-one,Allopregnan-3b-ol-20-one,Allopregnan-3β-ol-20-one,3b-Hydroxy-5a-pregnan-20-one,3Β-hydroxy-5α-pregnan-20-one,3 Hydroxypregnan 20 one,3 alpha Hydroxy 5 alpha pregnan 20 one,3 alpha Hydroxy 5 beta pregnan 20 one,3 alpha, 5 beta Tetrahydroprogesterone,3 alpha, 5 beta-Tetrahydroprogesterone,3 alpha-Hydroxy-5 alpha-pregnan-20-one,3 alpha-Hydroxy-5 beta-pregnan-20-one,3-Hydroxypregnan-20-one,3beta Hydroxy 5alpha pregnan 20 one,Allopregnan 3 beta ol 20 one,Allopregnan-3 beta-ol-20-one,Eltanolone,Epipregnanolone,Pregnan 3alpha ol 20 one,Pregnan-3alpha-ol-20-one,Pregnanolone,Pregnanolone, (3alpha)-isomer,Pregnanolone, (3alpha, 5beta, 17-alpha)-isomer,Pregnanolone, (3alpha,5alpha)-isomer,Pregnanolone, (3alpha,5beta)-isomer,Pregnanolone, (3beta)-isomer,Pregnanolone, (3beta, 5alpha)-isomer,Pregnanolone, (3beta, 5alpha, 17alpha)-isomer,Pregnanolone, (3beta, 5alpha, 8alpha, 17beta)-isomer,Pregnanolone, (3beta, 5beta)-isomer,Pregnanolone, (3beta, 5beta, 17alpha)-isomer,Pregnanolone, (3beta, 5beta,14beta)-isomer,Pregnanolone, (5alpha)-isomer,Sepranolone,alpha-Hydroxy-5 alpha-pregnan-20-one, 3,alpha-Hydroxy-5 beta-pregnan-20-one, 3,alpha-Pregnan-20-one, 3 alpha-hydroxy-5,beta-Ol-20-one, allopregnan-3,beta-Pregnan-20-one, 3 alpha-hydroxy-5,3-deoxo-3b-Hydroxy-5a-dihydroprogesterone,3b-Allopregnanolone,3b-Hydroxy-5a,17b-pregnan-20-one,3b-Hydroxy-5a-tetrahydroprogesterone,5a-Dihydropregnenolone,5a-Pregnane-3b-ol-20-one,Allopregnanolone,Isopregnanolone","HSD3B1,HSD3B2,AKR1C1",""
"7","Maltotetraose","MAM02451","HMDB0001296","c,e",",B,C,A,AMY2B,AMY2A","","","SCARF1","Maltotetraose,(3R,4R,5S,6R)-5-{[(2R,3R,4R,5S,6R)-5-{[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-{[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-6-(hydroxymethyl)oxane-2,3,4-triol,alpha-D-Gluco-hexopyranosyl-(1->4)-alpha-D-gluco-hexopyranosyl-(1->4)-alpha-D-gluco-hexopyranosyl-(1->4)-D-gluco-hexopyranose,Amylotetraose,D-Maltotetraose,O-alpha-D-Glucopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-D-glucose,WURCS=2.0/2,4,3/[a2122h-1x_1-5][a2122h-1a_1-5]/1-2-2-2/a4-b1_b4-c1_c4-D1,a-D-Gluco-hexopyranosyl-(1->4)-a-D-gluco-hexopyranosyl-(1->4)-a-D-gluco-hexopyranosyl-(1->4)-D-gluco-hexopyranose,Α-D-gluco-hexopyranosyl-(1->4)-α-D-gluco-hexopyranosyl-(1->4)-α-D-gluco-hexopyranosyl-(1->4)-D-gluco-hexopyranose,O-a-D-Glucopyranosyl-(1->4)-O-a-D-glucopyranosyl-(1->4)-O-a-D-glucopyranosyl-(1->4)-D-glucose,O-Α-D-glucopyranosyl-(1->4)-O-α-D-glucopyranosyl-(1->4)-O-α-D-glucopyranosyl-(1->4)-D-glucose,alpha-1,4-Tetraglucose,O-alpha-D-Glucopyranosyl-(1-4)-O-alpha-D-glucopyranosyl-(1-4)-O-alpha-D-glucopyranosyl-(1-4)-D-glucose,O-alpha-D-Glucopyranosyl-(1->4)-O(4xi)-alpha-D-xylo-hexopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-D-glucose,O-alpha-D-Glucopyranosyl-(1.4)-O-alpha-D-glucopyranosyl-(1.4)-O-alpha-D-glucopyranosyl-(1.4)-D-glucose,O-alpha-delta-Glucopyranosyl-(1-4)-O-alpha-delta-glucopyranosyl-(1-4)-O-alpha-delta-glucopyranosyl-(1-4)-delta-glucose,O-alpha-delta-Glucopyranosyl-(1->4)-O(4xi)-alpha-delta-xylo-hexopyranosyl-(1->4)-O-alpha-delta-glucopyranosyl-(1->4)-delta-glucose,O-alpha-delta-Glucopyranosyl-(1.4)-O-alpha-delta-glucopyranosyl-(1.4)-O-alpha-delta-glucopyranosyl-(1.4)-delta-glucose","",""
"8","D-Fructose","MAM01840","HMDB0000660","c,e",",B,C,A,AMY2B,AMY2A,SORD","SLC2A9,SLC2A11,SLC2A8,SLC2A5,SLC2A2,SLC2A7","","NR2F1","D-Fructose,(2R,3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol,fructose,beta-D-Arabino-hexulose,beta-D-Fructose,beta-Fruit sugar,beta-Levulose,FRUCTOSE,b-D-Arabino-hexulose,Β-D-arabino-hexulose,b-D-Fructose,Β-D-fructose,b-Fruit sugar,Β-fruit sugar,b-Levulose,Β-levulose,beta-D-Fructofuranose,beta-delta-Arabino-hexulose,beta-delta-Fructofuranose,beta-delta-Fructose,D-(-)-Fructose,delta-(-)-Fructose,delta-Fructose,FRU,Fructon,Levulose,Braun brand OF fructose,Fleboplast levulosa,Fresenius kabi brand OF fructose,Instituto farmacologico brand OF fructose,Levulosa,Levulosa ife,Grifols brand OF fructose,Levulosa baxter,Levulosado braun,Ern brand OF fructose,Levulosa grifols,Levulosa mein,Levulosado vitulia,Apir levulosa,Baxter brand OF fructose,Bieffe brand OF fructose,Levulosa braun,Levulosa ibys,Levulosa, apir,Levulosa, fleboplast,Levulosado bieffe medit,Plast apyr levulosa mein","",""
"9","2-Methoxyestradiol","MAM00659","HMDB0000405","c,e",",TOMT,COMT","","","TNFRSF10B","2-Methoxyestradiol,(1S,10R,11S,14S,15S)-4-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol,1,3,5(10)-ESTRATRIEN-2,3,17-BETA-triol 2-methyl ether,2-Hydroxyestradol 2-methyl ether,2-Methoxyestradiol-17beta,Panzem,1,3,5(10)-ESTRATRIEN-2,3,17-b-triol 2-methyl ether,1,3,5(10)-ESTRATRIEN-2,3,17-β-triol 2-methyl ether,2-Methoxyestradiol-17b,2-Methoxyestradiol-17β,2-(Methyl-11C)methoxyestradiol,2-Methoxyestradiol, (17alpha)-isomer,2-Methoxyoestradiol,2-Methoxyestradiol-17 beta,2ME2,(17Β)-2-methoxyestra-1,3,5(10)-triene-3,17-diol,(17beta)-2-Methoxyestra-1,3,5(10)-triene-3,17-diol,2-Hydroxyestradiol 2-methyl ether,2-Methoxy-e2,2-Methoxyestra-1,3,5(10)-triene-3,17β-diol,2-Methoxyestra-1,3,5(10)-triene-3,17beta-diol,2 Methoxyoestradiol,(17 beta)-2-Methoxyestra-1,3,5(10)-triene-3,17-diol,2 Methoxyestradiol 17 beta,2 Methoxyestradiol","",""
"10","Uracil","MAM03118","HMDB0000300","c,e",",UPP2,UPP1","SLC29A2","","GPR17","Uracil,1,2,3,4-tetrahydropyrimidine-2,4-dione,uracil,2,4(1H,3H)-Pyrimidinedione,2,4-Dioxopyrimidine,2,4-Pyrimidinedione,U,Ura,Urazil,2,4-Dihydroxypyrimidine,2,4-Pyrimidinediol,Hybar X,Pirod,Pyrod","",""
