,Compounds,GEM_id,HMDB_id,Cell_Compartment,Synthetic_genes,Transporter_genes,Transporter_genes_in,Receptor_genes,Synonyms,Synthetic_genes_lv2,precursor_transport
121,Deoxycytidine,MAM01668,HMDB0000014,"c,l,m,n,e",",Acp2","Slc29a1,Slc29a2",,Epha2,"Deoxycytidine,4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one,2'-deoxycytidine,4-Amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2(1H)-one,dC,DCYD,2'-Deoxycytidine,1-(2-Deoxy-b-D-ribofuranosyl)cytosine,1-(2-Deoxy-beta-D-erythro-pentofuranosyl)-cytosine,1-(2-Deoxy-beta-D-ribofuranosyl)cytosine,1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-cytosine,1-(2-Deoxy-beta-delta-ribofuranosyl)cytosine,2-Deoxy-cytidine,4-Amino-1-(2-deoxy-b-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone,4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone,4-Amino-1-(2-deoxy-beta-delta-erythro-pentofuranosyl)-2(1H)-pyrimidinone,Cytosine deoxyribonucleoside,Cytosine deoxyriboside,Deoxy-cytidine,Deoxyribose cytidine,Desoxycytidine,Deoxyribonucleoside, cytosine,Deoxyriboside, cytosine",,
181,Inosine,MAM02170,HMDB0000195,"c,m,e,l",",Ada","Slc29a1,Slc29a2",,Selp,"Inosine,9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-3H-purin-6-one,inosine,9-beta-D-Ribofuranosyl-9H-purin-6-ol,9-beta-D-Ribofuranosylhypoxanthine,Hypoxanthine D-riboside,Hypoxanthosine,i,Inosin,Inosina,Inosinum,Inotin,9-b-D-Ribofuranosyl-9H-purin-6-ol,9-Β-D-ribofuranosyl-9H-purin-6-ol,9-b-D-Ribofuranosylhypoxanthine,9-Β-D-ribofuranosylhypoxanthine,(-)-Inosine,1,9-Dihydro-9-b-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-delta-ribofuranosyl-6H-purin-6-one,9-b-D-Ribofuranosyl-hypoxanthine,9-beta-D-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosylhypoxanthine,9beta-D-Ribofuranosylhypoxanthine,9beta-delta-Ribofuranosylhypoxanthine,Atorel,beta-D-Ribofuranoside hypoxanthine-9,beta-delta-Ribofuranoside hypoxanthine-9,beta-Inosine,HXR,Hypoxanthine 9-beta-D-ribofuranoside,Hypoxanthine 9-beta-delta-ribofuranoside,Hypoxanthine nucleoside,Hypoxanthine ribonucleoside,Hypoxanthine riboside,Hypoxanthine-9 beta-D-ribofuranoside,Hypoxanthine-9 beta-delta-ribofuranoside,Hypoxanthine-9-beta-D-ribofuranoside,Hypoxanthine-9-beta-delta-ribofuranoside,Hypoxanthine-9-D-ribofuranoside,Hypoxanthine-9-delta-ribofuranoside,Hypoxanthine-ribose,Indole-3-carboxaldehyde,Ino,Inosie,Iso-prinosine,Oxiamin,Panholic-L,Pantholic-L,Ribonosine,Selfer,Trophicardyl",,
34,Allopregnanolone,MAM00759,HMDB0001449,c,",Akr1c6",,,"Gabra1 and Gabrg2 and Gabrb2,Nr1i2,Trpm3","Allopregnanolone,1-[(1S,2S,5R,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]ethan-1-one,1-[(1S,2S,5R,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]ethanone,(3alpha,5alpha)-3-Hydroxypregnan-20-one,3alpha,5alpha-Tetrahydroprogesterone,3alpha,5alpha-THP,3alpha-Hydroxy-5alpha-dihydroprogesterone,3alpha-Hydroxy-5alpha-pregnan-20-one,3alpha-OH DHP,5alpha-Pregnan-3alpha-ol-20-one,Allopregnan-3alpha-ol-20-one,Allotetrahydroprogesterone,Brexanolona,Brexanolonum,SAGE-547,SGE-102,Zulresso,(3a,5a)-3-Hydroxypregnan-20-one,(3Α,5α)-3-hydroxypregnan-20-one,3a,5a-Tetrahydroprogesterone,3Α,5α-tetrahydroprogesterone,3a,5a-THP,3Α,5α-THP,3a-Hydroxy-5a-dihydroprogesterone,3Α-hydroxy-5α-dihydroprogesterone,3a-Hydroxy-5a-pregnan-20-one,3Α-hydroxy-5α-pregnan-20-one,3a-OH DHP,3Α-OH DHP,5a-Pregnan-3a-ol-20-one,5Α-pregnan-3α-ol-20-one,Allopregnan-3a-ol-20-one,Allopregnan-3α-ol-20-one,(+)-3a-Hydroxy-5a-pregnan-20-one,(3a)-Allopregnanolone,3-a-Tetrahydroprogesterone,3-alpha-Tetrahydroprogesterone,3a,5a-Pregnanolone,3a-Hydroxy-5a-pregnane-20-one,5a-Pregnane-3a-ol-20-one,3-Hydroxypregnan-20-one,alpha-Hydroxy-5 alpha-pregnan-20-one, 3,Pregnan-3alpha-ol-20-one,Pregnanolone, (3alpha)-isomer,3 Hydroxypregnan 20 one,3 alpha Hydroxy 5 alpha pregnan 20 one,3 alpha-Hydroxy-5 alpha-pregnan-20-one,Pregnan 3alpha ol 20 one,alpha-Pregnan-20-one, 3 alpha-hydroxy-5,(+)-3alpha-Hydroxy-5alpha-pregnan-20-one,(+)-3Α-hydroxy-5α-pregnan-20-one,(3alpha)-Allopregnanolone,(3Α)-allopregnanolone,3alpha,5alpha-Pregnanolone,3alpha-Hydroxy-5alpha-pregnane-20-one,3Α,5α-pregnanolone,3Α-hydroxy-5α-pregnane-20-one,5alpha-Pregnane-3alpha-ol-20-one,5Α-pregnane-3α-ol-20-one","Hsd3b1,Hsd3b2,Hsd3b3,Hsd3b4,Hsd3b6,Hsd3b8,Hsd3b9,Akr1c20",
48,Dihydroandrosterone,MAM01065,HMDB0000554,"c,e",",Akr1c6",,,"Gpbar1,Esr2,Ar","Dihydroandrosterone,(1S,2S,5R,7S,10R,11S,14S,15S)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecane-5,14-diol,(3alpha,5alpha,17beta)-Androstane-3,17-diol,3alpha,17beta-Dihydroxy-5alpha-androstane,Hombreol,(3a,5a,17b)-Androstane-3,17-diol,(3Α,5α,17β)-androstane-3,17-diol,3a,17b-Dihydroxy-5a-androstane,3Α,17β-dihydroxy-5α-androstane,Adiol,Etiocholane-3a,17b-diol,3a,5a-Tetrahydrotestosterone,5a-Androstane-3a,17b-diol,5alpha-Androstane-3alpha,17beta-androstanediol,5alpha-Androstane-3alpha,17beta-diol,Androstane-3a,17b-diol,Etiocholane-3alpha,17beta-diol,3a-Androstanediol,3Α-androstanediol,5Α-androstane-3α,17β-diol",,
74,Alloepipregnanolone,MAM01314,HMDB0001455,"c,r,e",",Akr1c6",,,"Nr1i2,Trpm3,Gabra1,Gabra2,Gabra4,Gabra6,Gabrd,Gabrg2","Alloepipregnanolone,1-[(1S,2S,5S,7S,10R,11S,14S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]ethan-1-one,isopregnanolone,(3beta,5alpha)-3-Hydroxypregnan-20-one,3beta-Hydroxy-5alpha-pregnane-20-one,5alpha-Pregnan-3beta-ol-20-one,Allopregnan-3beta-ol-20-one,Epiallopregnanolone,3beta-Hydroxy-5alpha-pregnan-20-one,(3b,5a)-3-Hydroxypregnan-20-one,(3Β,5α)-3-hydroxypregnan-20-one,3b-Hydroxy-5a-pregnane-20-one,3Β-hydroxy-5α-pregnane-20-one,5a-Pregnan-3b-ol-20-one,5Α-pregnan-3β-ol-20-one,Allopregnan-3b-ol-20-one,Allopregnan-3β-ol-20-one,3b-Hydroxy-5a-pregnan-20-one,3Β-hydroxy-5α-pregnan-20-one,3 Hydroxypregnan 20 one,3 alpha Hydroxy 5 alpha pregnan 20 one,3 alpha Hydroxy 5 beta pregnan 20 one,3 alpha, 5 beta Tetrahydroprogesterone,3 alpha, 5 beta-Tetrahydroprogesterone,3 alpha-Hydroxy-5 alpha-pregnan-20-one,3 alpha-Hydroxy-5 beta-pregnan-20-one,3-Hydroxypregnan-20-one,3beta Hydroxy 5alpha pregnan 20 one,Allopregnan 3 beta ol 20 one,Allopregnan-3 beta-ol-20-one,Eltanolone,Epipregnanolone,Pregnan 3alpha ol 20 one,Pregnan-3alpha-ol-20-one,Pregnanolone,Pregnanolone, (3alpha)-isomer,Pregnanolone, (3alpha, 5beta, 17-alpha)-isomer,Pregnanolone, (3alpha,5alpha)-isomer,Pregnanolone, (3alpha,5beta)-isomer,Pregnanolone, (3beta)-isomer,Pregnanolone, (3beta, 5alpha)-isomer,Pregnanolone, (3beta, 5alpha, 17alpha)-isomer,Pregnanolone, (3beta, 5alpha, 8alpha, 17beta)-isomer,Pregnanolone, (3beta, 5beta)-isomer,Pregnanolone, (3beta, 5beta, 17alpha)-isomer,Pregnanolone, (3beta, 5beta,14beta)-isomer,Pregnanolone, (5alpha)-isomer,Sepranolone,alpha-Hydroxy-5 alpha-pregnan-20-one, 3,alpha-Hydroxy-5 beta-pregnan-20-one, 3,alpha-Pregnan-20-one, 3 alpha-hydroxy-5,beta-Ol-20-one, allopregnan-3,beta-Pregnan-20-one, 3 alpha-hydroxy-5,3-deoxo-3b-Hydroxy-5a-dihydroprogesterone,3b-Allopregnanolone,3b-Hydroxy-5a,17b-pregnan-20-one,3b-Hydroxy-5a-tetrahydroprogesterone,5a-Dihydropregnenolone,5a-Pregnane-3b-ol-20-one,Allopregnanolone,Isopregnanolone","Hsd3b1,Hsd3b2,Hsd3b3,Hsd3b4,Hsd3b6,Hsd3b8,Hsd3b9,Akr1c20",
30,2-Methoxyestradiol,MAM00659,HMDB0000405,"c,e",",Tomt,Comt",,,Tnfrsf10b,"2-Methoxyestradiol,(1S,10R,11S,14S,15S)-4-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol,1,3,5(10)-ESTRATRIEN-2,3,17-BETA-triol 2-methyl ether,2-Hydroxyestradol 2-methyl ether,2-Methoxyestradiol-17beta,Panzem,1,3,5(10)-ESTRATRIEN-2,3,17-b-triol 2-methyl ether,1,3,5(10)-ESTRATRIEN-2,3,17-β-triol 2-methyl ether,2-Methoxyestradiol-17b,2-Methoxyestradiol-17β,2-(Methyl-11C)methoxyestradiol,2-Methoxyestradiol, (17alpha)-isomer,2-Methoxyoestradiol,2-Methoxyestradiol-17 beta,2ME2,(17Β)-2-methoxyestra-1,3,5(10)-triene-3,17-diol,(17beta)-2-Methoxyestra-1,3,5(10)-triene-3,17-diol,2-Hydroxyestradiol 2-methyl ether,2-Methoxy-e2,2-Methoxyestra-1,3,5(10)-triene-3,17β-diol,2-Methoxyestra-1,3,5(10)-triene-3,17beta-diol,2 Methoxyoestradiol,(17 beta)-2-Methoxyestra-1,3,5(10)-triene-3,17-diol,2 Methoxyestradiol 17 beta,2 Methoxyestradiol","Cyp19a1,Cyp1a1,Cyp1a2,Cyp1b1,Cyp2a4,Cyp2a5,Cyp2b10,Cyp2c29,Cyp2c38,Cyp2c39,Cyp2c55,Cyp2c65,Cyp2c66,Cyp2d22,Cyp2e1,Cyp2f2,Cyp2j6,Cyp2j9,Cyp2s1,Cyp2u1,Cyp3a13,Cyp3a16,Cyp3a41a,Cyp3a41b,Cyp3a44,Cyp3a57,Cyp4b1,Cyp4f14,Cyp4f40,Cyp4x1",
293,Uracil,MAM03118,HMDB0000300,"c,e",",Upp2,Upp1",Slc29a2,,Gpr17,"Uracil,1,2,3,4-tetrahydropyrimidine-2,4-dione,uracil,2,4(1H,3H)-Pyrimidinedione,2,4-Dioxopyrimidine,2,4-Pyrimidinedione,U,Ura,Urazil,2,4-Dihydroxypyrimidine,2,4-Pyrimidinediol,Hybar X,Pirod,Pyrod",,
97,Cyclic AMP,MAM01419,HMDB0000058,"c,g,e","(Gucy1a1 and Gucy1b1),Adcy1,Adcy10,Adcy2,Adcy3,Adcy4,Adcy5,Adcy6,Adcy7,Adcy8,Adcy9,Gucy1a2,Gucy2c,Gucy2e,Gucy2f,Npr1,Npr2","Abcc4,Abcc5",,"Cnga3,Esr1,Cd38,Trpv4,Trpc5,Npr3,Erbb2,Gja1,Tshr,Ctla4,Adrb2,Htr7,Trpc6,Adrb3,Pde4d,Mylk,Adrb1,Cd40lg,Abcc4,Thbd,Hrh2,Trpc3,Igfbp3,Abcc8,Hcar2,Fshr,Ano6,Pde10a,Ifnar1,Avpr2,Cnr1,Pcdha4,Cnr2,Pcdha6,Crhr1,Drd2,Gipr,Glp1r,Gpbar1,NA,Htr1a,Oprm1,Pde4b,Vipr2","Cyclic AMP,(4aR,6R,7R,7aS)-6-(6-amino-9H-purin-9-yl)-2,7-dihydroxy-hexahydro-2lambda5-furo[3,2-d][1,3,2]dioxaphosphinin-2-one,(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2,7-dihydroxy-tetrahydro-4H-2lambda5-furo[3,2-d][1,3,2]dioxaphosphinin-2-one,Adenosine 3',5'-cyclic monophosphate,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,ADENOSINE-3',5'-cyclic-monophosphATE,CAMP,Cyclic adenylic acid,Adenosine 3',5'-cyclic monophosphoric acid,Adenosine 3',5'-cyclic phosphoric acid,Adenosine 3',5'-phosphoric acid,ADENOSINE-3',5'-cyclic-monophosphoric acid,Cyclic adenylate,3'5'-Cyclic AMP,6-(6-Amino-9H-purin-9-yl)tetrahydro-4H-furo[3,2-D][1,3,2]dioxaphosphinine-2,7-diol 2-oxide,Acrasin,Adenosine 3',5'-cyclophosphate,Adenosine 3',5'-monophosphate,Adenosine 3,5'-cyclic monophosphorate,Adenosine 3,5'-cyclic monophosphoric acid,Adenosine cyclic monophosphate,Adenosine cyclic-monophosphate,Adenosine-cyclic-phosphate,Adenosine-cyclic-phosphoric-acid,Cyclic 3',5'-adenylate,Cyclic 3',5'-adenylic acid,Cyclic 3',5'-AMP,Cyclic adenosine 3',5'-phosphate,3',5'-monoPhosphate, adenosine cyclic,Cyclic AMP, disodium salt,Cyclic AMP, monopotassium salt,Cyclic AMP, sodium salt,AMP, Cyclic,Adenosine cyclic 3',5' monophosphate,Adenosine cyclic-3',5'-monophosphate,Cyclic AMP, (R)-isomer,Cyclic AMP, monosodium salt,Adenosine cyclic 3',5'-monophosphate,monoPhosphate, adenosine cyclic,Adenosine cyclic 3,5 monophosphate,Cyclic 3',5'-monophosphate, adenosine,Cyclic AMP, monoammonium salt,Cyclic monophosphate, adenosine,Cyclic-3',5'-monophosphate, adenosine",,
99,Cyclic GMP,MAM01433,HMDB0001314,"c,g,n,e","(Gucy1a1 and Gucy1b1),Adcy1,Adcy10,Adcy2,Adcy3,Adcy4,Adcy5,Adcy6,Adcy7,Adcy8,Adcy9,Gucy1a2,Gucy2c,Gucy2e,Gucy2f,Npr1,Npr2","Abcc4,Abcc5",,"Cnga1,Cnga3,Gucy2f,Cngb1,Gucy2e,Pde6a,Gucy2c,Trpv4,Trpc5,Gucy1b3,Pde3b,Pde11a,Gucy1a3,Pde6g,Pde2a,Trpc6,Pde3a,Pde6c,Trpc3,Pde6b,Pde10a,NA,NA","Cyclic GMP,9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-hexahydro-2λ⁵-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-6,9-dihydro-1H-purin-6-one,cyclic-GMP,CGMP,Guanosine 3',5'-cyclic monophosphate,Guanosine 3',5'-cyclic phosphate,Guanosine cyclic monophosphate,Guanosine 3',5'-cyclic monophosphoric acid,Guanosine 3',5'-cyclic phosphoric acid,Guanosine cyclic monophosphoric acid,3',5'-Cyclic GMP,3',5'-Guanosine,3',5'-Guanosine monophosphate,Cyclic 3',5'-guanosine monophosphate,Cyclic guanosine 3',5'-monophosphate,Cyclic-GMP,Guanosine 3',5'-cyclic-monophosphate,Guanosine 3',5'-monophosphate,Guanosine cyclic-monophosphate,Guanosine-cyclic-phosphoric-acid,Cyclic 3',5'-monophosphate, guanosine,GMP, Cyclic,Guanosine cyclic-3',5'-monophosphate,monoPhosphate, guanosine cyclic,3',5'-monoPhosphate, guanosine cyclic,Cyclic-3',5'-monophosphate, guanosine,Guanosine cyclic 3',5'-monophosphate,Guanosine cyclic 3,5 monophosphate,Cyclic monophosphate, guanosine,Guanosine cyclic 3',5' monophosphate",,
98,CDP,MAM01424,HMDB0001546,"c,m,n,e","(Polr3g,Polr3gl) and (Papola,Papolb,Papolg,Tent2) and (Tut1,Tut4,Tut7) and Mtpap and Polr1a and Polr1b and Polr1c and Polr1d and Polr1e and Polr1h and Polr2a and Polr2b and Polr2c and Polr2d and Polr2e and Polr2f and Polr2g and Polr2h and Polr2i and Polr2j and Polr2k and Polr2l and Polr3a and Polr3b and Polr3c and Polr3d and Polr3e and Polr3f and Polr3h and Polr3k and Polrmt,Dolk",,,P2ry6,"CDP,[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]phosphonic acid,5'-CDP,Cytidine 5'-diphosphate,Cytidine 5'-diphosphoric acid,Cytidine 5'-pyrophosphate,Cytidine diphosphate,Cytidine, 5'-(trihydrogen pyrophosphate),CYTIDINE-5'-diphosphATE,Cytidine 5'-pyrophosphoric acid,Cytidine diphosphoric acid,Cytidine, 5'-(trihydrogen pyrophosphoric acid),CYTIDINE-5'-diphosphoric acid,Cytidine-diphosphate,Diphosphate, cytidine",,
