,Compounds,GEM_id,HMDB_id,Cell_Compartment,Synthetic_genes,Transporter_genes,Transporter_genes_in,Receptor_genes,Synonyms,Synthetic_genes_lv2,precursor_transport
134,Inosine,MAM02170,HMDB0000195,"c,m,e,l",",,,,,,,,ada,ada2a,ada2b","slc29a1b,slc29a2",NA,selp,"Inosine,9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-3H-purin-6-one,inosine,9-beta-D-Ribofuranosyl-9H-purin-6-ol,9-beta-D-Ribofuranosylhypoxanthine,Hypoxanthine D-riboside,Hypoxanthosine,i,Inosin,Inosina,Inosinum,Inotin,9-b-D-Ribofuranosyl-9H-purin-6-ol,9-Β-D-ribofuranosyl-9H-purin-6-ol,9-b-D-Ribofuranosylhypoxanthine,9-Β-D-ribofuranosylhypoxanthine,(-)-Inosine,1,9-Dihydro-9-b-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-D-ribofuranosyl-6H-purin-6-one,1,9-Dihydro-9-beta-delta-ribofuranosyl-6H-purin-6-one,9-b-D-Ribofuranosyl-hypoxanthine,9-beta-D-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosyl-hypoxanthine,9-beta-delta-Ribofuranosylhypoxanthine,9beta-D-Ribofuranosylhypoxanthine,9beta-delta-Ribofuranosylhypoxanthine,Atorel,beta-D-Ribofuranoside hypoxanthine-9,beta-delta-Ribofuranoside hypoxanthine-9,beta-Inosine,HXR,Hypoxanthine 9-beta-D-ribofuranoside,Hypoxanthine 9-beta-delta-ribofuranoside,Hypoxanthine nucleoside,Hypoxanthine ribonucleoside,Hypoxanthine riboside,Hypoxanthine-9 beta-D-ribofuranoside,Hypoxanthine-9 beta-delta-ribofuranoside,Hypoxanthine-9-beta-D-ribofuranoside,Hypoxanthine-9-beta-delta-ribofuranoside,Hypoxanthine-9-D-ribofuranoside,Hypoxanthine-9-delta-ribofuranoside,Hypoxanthine-ribose,Indole-3-carboxaldehyde,Ino,Inosie,Iso-prinosine,Oxiamin,Panholic-L,Pantholic-L,Ribonosine,Selfer,Trophicardyl",NA,NA
54,Adenosine,MAM01280,HMDB0000050,"c,l,m,e",",,,,,,,,ahcy,ahcyl2b,acp2,acp5a,acp6","slc29a1b,slc29a2,slc29a4a",fasn,"adora2aa,adora2b,adora1a,adora1b,egfra,LO018309.1,drd4b,drd4a,bdkrb1,grm6a,grm6b,oprd1a,oprd1b,mc3r,ptger2b,ptger2a,s1pr4,ccr7,mchr1a,mchr1b,galr2b,aplnr2,anxa1a,anxa1b,anxa1c,anxa1d,vipr2,oprk1,sstr1a,gpr17,pth2rb,pth2ra,ackr3a,ackr3b,taar1b,ntrk2a,ntrk2b,adra2a,MCHR2,MCHR2,appa,appb,htr5ab,htr5aa,htr6,ptgir,cxcr5,ccr2,ccr11.1,ccr2,ccr2,ccr11.1,ccr2,si:zfos-169g10.2,sstr3,lhcgr,cxcr2,ccr2,ccr11.1,ccr2,gper1,tshr,rxfp2b,rxfp2a,oxgr1a.1,oxgr1a.3,oxgr1b,oxgr1a.2,galr1a,CU571081.1,mtnr1aa,mtnr1ab,ptger4a,ptger4b,rxfp1,p2ry1,adrb2a,adrb2b,s1pr1,nmur1b,nmur1a,DRD5,p2ry12,htr1aa,P2RY14,htr1ab,mc5rb,mc5ra,cxcr2,chrm2b,chrm2a,ghrhrl,p2ry13,pth1r,htr1aa,ccr8.1,si:cabz01093077.1,cabz01093075.1,vipr1b,lpar5b,lpar5a,s1pr5b,rxfp3.3a3,rxfp3.3a2,galr2a,ccr10,ccr9a,ccr9b,npy2rl,npy2r,ccr2,ccr11.1,ccr2,mc2r,f3a,oprl1,htr7a,HTR7,avpr2aa,avpr2ab,npy4r,ccr6b,ccr6a,CU571081.1,CRHR2,CU571081.1,gpr18,adrb3b,adrb3a,grm8b,grm8a,CABZ01041494.1,ret,ptger3,sstr2b,sstr2a,lpar1,calcr,si:dkey-78k11.9,dpp4,zgc:136971,htr4,npy1r,drd2b,drd2a,grm3,adrb1,cnr1,npbwr2a,htr1aa,lpar3,agtr2,cxcr3.1,cxcr3.3,grm4,cnr2,ar,hrh2a,hcar1-3,hcar1-4,drd3,grm2b,grm2a,crhr1,gipr,lpar2b,lpar2a,fshr,adra2c,cxcr4b,cxcr4a,oprm1,chrm4a,casr,ntrk1,ccr2,ccr11.1,ccr2,mc1r,s1pr2","Adenosine,(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol,adenosine,(2R,3R,4S,5R)-2-(6-Aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol,6-Amino-9-beta-D-ribofuranosyl-9H-purine,9-beta-D-Ribofuranosidoadenine,9-beta-D-Ribofuranosyl-9H-purin-6-amine,Ade-rib,Adenine deoxyribonucleoside,Adenocard,Adenocor,Adenoscan,Adenosin,Adenyldeoxyriboside,Ado,beta-D-Adenosine,Deoxyadenosine,Desoxyadenosine,6-Amino-9-b-D-ribofuranosyl-9H-purine,6-Amino-9-β-D-ribofuranosyl-9H-purine,9-b-D-Ribofuranosidoadenine,9-Β-D-ribofuranosidoadenine,9-b-D-Ribofuranosyl-9H-purin-6-amine,9-Β-D-ribofuranosyl-9H-purin-6-amine,b-D-Adenosine,Β-D-adenosine,1-(6-Amino-9H-purin-9-yl)-1-deoxy-beta-D-ribofuranose,1-(6-Amino-9H-purin-9-yl)-1-deoxy-beta-delta-ribofuranose,6-Amino-9beta-D-ribofuranosyl-9H-purine,6-Amino-9beta-delta-ribofuranosyl-9H-purine,9-beta-D-Arabinofuranosyladenine,9-beta-D-Ribofuranosyladenine,9-beta-delta-Arabinofuranosyladenine,9-beta-delta-Ribofuranosidoadenine,9-beta-delta-Ribofuranosyl-9H-purin-6-amine,9-beta-delta-Ribofuranosyladenine,9beta-D-Ribofuranosyl-9H-purin-6-amine,9beta-D-Ribofuranosyladenine,9beta-delta-Ribofuranosyl-9H-purin-6-amine,9beta-delta-Ribofuranosyladenine,Adenine nucleoside,Adenine riboside,Adenine-9beta-D-ribofuranoside,Adenine-9beta-delta-ribofuranoside,beta-Adenosine,beta-delta-Adenosine,Boniton,Myocol,Nucleocardyl,Sandesin",NA,NA
225,Uridine,MAM03123,HMDB0000296,"c,l,m,n,e",",,,,,,,,aicda,cdab","slc29a1b,slc29a2",NA,"htr1ab,htr2ab,htr2aa,tlr7","Uridine,1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione,uridine,1-beta-D-Ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-beta-D-Ribofuranosyluracil,beta-Uridine,u,Urd,Uridin,1-b-D-Ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-Β-D-ribofuranosylpyrimidine-2,4(1H,3H)-dione,1-b-D-Ribofuranosyluracil,1-Β-D-ribofuranosyluracil,b-Uridine,Β-uridine,1-b-D-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione,1-beta-delta-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione,1-beta-delta-Ribofuranosyluracil,b-D-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1,beta-delta-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1,Allo uridine,Allo-uridine,Allouridine",NA,NA
1,Eicosadienoic acid,MAM00008,HMDB0005060,"c,l,r,e",",,,,cel.2,","abca1a,abca1b",NA,"cntn1b,cntn1a,f3a","Eicosadienoic acid,(11Z,14Z)-icosa-11,14-dienoic acid,eicosadienoic acid,(11Z,14Z)-Eicosa-11,14-dienoic acid,(11Z,14Z)-Eicosadienoic acid,(11Z,14Z)-Icosa-11,14-dienoic acid,11,14-Eicosadienoic acid,11,14-Icosadienoic acid,(11Z,14Z)-Eicosa-11,14-dienoate,(11Z,14Z)-Eicosadienoate,(11Z,14Z)-Icosa-11,14-dienoate,11,14-Eicosadienoate,11,14-Icosadienoate,Eicosadienoate,11, 14-Icosadienoate,11, 14-Icosadienoic acid,11,14-trans-Eicosadienoic acid,delta11,14-20:2,Eicosa-11,14-dienoic acid,Eicosa-11,14-dienoic acid, (Z,Z)-isomer,N-6 Eicosadienoic acid,Dihomolinoleate,(11Z,14Z)-Icosadienoate,(11Z,14Z)-11,14-Eicosadienate,(11Z,14Z)-11,14-Eicosadienic acid,(11Z,14Z)-11,14-Eicosadienoate,(11Z,14Z)-11,14-Eicosadienoic acid,11,14-all-cis-Eicosadienoate,11,14-all-cis-Eicosadienoic acid,11-cis,14-cis-Eicosadienoate,11-cis,14-cis-Eicosadienoic acid,Bishomolinoleate,Bishomolinoleic acid,Dihomo-linoleate (20:2n6),Dihomo-linoleic acid (20:2n6),FA(20:2(11Z,14Z)),Homo-gamma-linoleate,Homo-gamma-linoleic acid,Homo-γ-linoleate,Homo-γ-linoleic acid,all-cis-11,14-Eicosadienoate,all-cis-11,14-Eicosadienoic acid,cis,cis-Eicosa-11,14-dienoate,cis,cis-Eicosa-11,14-dienoic acid,cis,cis-delta11,14-Eicosadienoate,cis,cis-delta11,14-Eicosadienoic acid,cis,cis-Δ11,14-eicosadienoate,cis,cis-Δ11,14-eicosadienoic acid,cis-11,cis-14-Eicosadienoate,cis-11,cis-14-Eicosadienoic acid,delta11,14-Eicosadienoate,delta11,14-Eicosadienoic acid,Δ11,14-eicosadienoate,Δ11,14-eicosadienoic acid,FA(20:2n6)",tecrb,NA
99,Eicosapentaenoic acid,MAM01784,HMDB0001999,"c,l,n,x,r,e,i",",,,,cel.2,","abca1a,abca1b",NA,"hcar1-3,hcar1-4,cntn1b,cntn1a,f3a,rxrab,rxraa,si:dkey-211g8.9,ppardb,pparda,pparaa,pparab,abcb4,ncor1,grm1b,grm1a,tnfrsf21,cd36,tas1r3,abca1a,abca1b,tas1r2.2,tas1r2.2","Eicosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid,eicosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-Eicosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate,(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid,(all-Z)-5,8,11,14,17-Eicosapentaenoic acid,5,8,11,14,17-EICOSAPENTAENOIC ACID,5,8,11,14,17-Icosapentaenoic acid,all-cis-5,8,11,14,17-Eicosapentaenoic acid,all-cis-Icosa-5,8,11,14,17-pentaenoic acid,cis, cis, cis, cis, cis-Eicosa-5,8,11,14,17-pentaenoic acid,cis-5,8,11,14,17-Eicosapentaenoic acid,cis-5,8,11,14,17-EPA,cis-Delta(5,8,11,14,17)-Eicosapentaenoic acid,EPA,Icosapent,Icosapentaenoic acid,Icosapento,Icosapentum,Timnodonic acid,(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate,5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-Eicosapentaenoate,(all-Z)-5,8,11,14,17-Eicosapentaenoate,5,8,11,14,17-EICOSAPENTAENOate,5,8,11,14,17-Icosapentaenoate,all-cis-5,8,11,14,17-Eicosapentaenoate,all-cis-Icosa-5,8,11,14,17-pentaenoate,cis, cis, cis, cis, cis-Eicosa-5,8,11,14,17-pentaenoate,cis-5,8,11,14,17-Eicosapentaenoate,cis-delta(5,8,11,14,17)-Eicosapentaenoate,cis-Δ(5,8,11,14,17)-eicosapentaenoate,cis-Δ(5,8,11,14,17)-eicosapentaenoic acid,Icosapentaenoate,Timnodonate,5Z,8Z,11Z,14Z,17Z-Eicosapentaenoate,(5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoate,Eicosapentaenoate,Omega-3-eicosapentaenoic acid,Acid, eicosapentanoic,Eicosapentanoic acid,Omega 3 eicosapentaenoic acid,all-cis-Icosapentaenoate,all-cis-Icosapentaenoic acid,(5Z,8Z,11Z,14Z,17Z)-Eicosa-5,8,11,14,17-pentaenoic acid,(all-Z)-delta5,8,11,14,17-Eicosapentaenoic acid,(all-Z)-Δ5,8,11,14,17-eicosapentaenoic acid,(all-cis)-5,8,11,14,17-Eicosapentaenoic acid,FA(20:5(5Z,8Z,11Z,14Z,17Z)),FA(20:5n3)","elovl5,elovl2,elovl6,elovl4a,fads2",NA
63,Arachidonic acid,MAM01362,HMDB0001043,"c,l,n,x,r,e,g",",,,acot7,ppt1,ppt2b,acot13,them4,,cel.2,,acer3","abca1a,abca1b",NA,"cntn1b,cntn1a,f3a,trpc7a,trpc7b,trpm2,trpm5,trpv4,pparaa,pparab,kdr,abcb4,ncor1,tnfrsf21,cd36,abca1a,abca1b,rxrab,rxraa,nr1h4","Arachidonic acid,(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid,arachidonic acid,(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoic acid,(5Z,8Z,11Z,14Z)-Icosatetraenoic acid,AA,all-cis-5,8,11,14-Eicosatetraenoic acid,ARA,Arachidonate,Arachidonsaeure,cis-5,8,11,14-Eicosatetraenoic acid,cis-Delta(5,8,11,14)-Eicosatetraenoic acid,5Z,8Z,11Z,14Z-Eicosatetraenoic acid,(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid,(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoate,(5Z,8Z,11Z,14Z)-Icosatetraenoate,all-cis-5,8,11,14-Eicosatetraenoate,cis-5,8,11,14-Eicosatetraenoate,cis-delta(5,8,11,14)-Eicosatetraenoate,cis-Δ(5,8,11,14)-eicosatetraenoate,cis-Δ(5,8,11,14)-eicosatetraenoic acid,5Z,8Z,11Z,14Z-Eicosatetraenoate,(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoate,(all-Z)-5,8,11,14-Eicosatetraenoate,(all-Z)-5,8,11,14-Eicosatetraenoic acid,5,8,11,14-all-cis-Eicosatetraenoate,5,8,11,14-all-cis-Eicosatetraenoic acid,5,8,11,14-Eicosatetraenoate,5,8,11,14-Eicosatetraenoic acid,5-cis,8-cis,11-cis,14-cis-Eicosatetraenoate,5-cis,8-cis,11-cis,14-cis-Eicosatetraenoic acid,cis-D5,8,11,14-Eicosatetraenoate,cis-D5,8,11,14-Eicosatetraenoic acid,Immunocytophyte,Arachidonate, sodium,Arachidonic acid, (all-Z)-isomer, 3H-labeled,Arachidonic acid, ammonium salt, (all-Z)-isomer,Arachidonic acid, cerium salt, (all-Z)-isomer,Arachidonic acid, sodium salt,Arachidonic acid, sodium salt, (all-Z)-isomer,Vitamin F,Arachidonic acid, cesium salt, (all-Z)-isomer,Arachidonic acid, lithium salt, (all-Z)-isomer,Arachidonic acid, potassium salt, (all-Z)-isomer,Sodium arachidonate,Arachidonic acid, (all-Z)-isomer, 1-(14)C-labeled,Arachidonic acid, zinc salt, (all-Z)-isomer,FA(20:4(5Z,8Z,11Z,14Z)),FA(20:4n6)","elovl5,elovl2,elovl6,elovl4a,fads2",NA
172,Palmitic acid,MAM02674,HMDB0000220,"c,l,x,r,e",",,,acot7,ppt1,ppt2b,fasn,olah,acot13,them4,,cel.2,,sgpl1,pgap1,gnpat","abca1a,abca1b",NA,"p2ry10,bdkrb1,mlnr,gnrhr4,gnrhr1,gnrhr2,CABZ01080434.1,kiss1rb,ghsra,ghsrb,si:ch73-90p23.1,CU855821.1,si:dkey-211g8.7,si:dkey-211g8.6,si:dkey-211g8.9,F2RL3,mchr1a,mchr1b,chrm3b,chrm3a,anxa1a,anxa1b,anxa1c,anxa1d,nmbr,htr2b,tlr2,ror1,scarb1,pparaa,pparab,gpc1a,gpc1b,scarb2c,abcb4,gpr65,zmp:0000001082,ncor1,gpr17,agtr1b,agtr1a,htr2cl1,htr2cl2,hdr,tnfrsfa,cd40,nradd,tnfrsf1b,tnfrsf11a,npffr1,MCHR2,MCHR2,grm1b,grm1a,appa,appb,gpc2,ptger1a,ptger1b,CCKAR,f2rl2,F2RL2,f2rl1.2,f2rl1.1,tnfrsf21,avpr1ab,avpr1aa,ptafr,tacr3a,tacr3l,tacr1a,tacr1b,p2ry1,nmur1b,nmur1a,grm5b,grm5a,chrm1a,adra1ba,adra1bb,sdc2,ltb4r,npffr2b,NPFFR2,cd36,gprc6a,trhrb,trhra,p2ry2.3,p2ry2.1,p2ry2.2,xcr1a.1,xcr1b.1,ednraa,ednrab,gpr4,F2R,f2r,F2R,F2R,F2R,F2R,F2R,oxtr,oxtrl,lpar5b,lpar5a,si:ch73-90p23.1,CU855821.1,si:dkey-211g8.7,si:dkey-211g8.6,CCKBR,si:dkey-1h24.2,ripk2,CABZ01021599.1,CU571081.1,lpar6b,lpar6a,CABZ01080702.1,lpar1,si:dkey-78k11.9,nr4a1,ntsr1,lpar3,ptgfr,gpc4,hcrtr2,sdc4,cysltr1,tacr2,abca1a,abca1b,gpc6a,gpc6b,gpc5a,ednrbb,ednrba,htr2ab,htr2aa,agrn,adra1aa,adra1d,grpr,chrm5b,chrm5a,gpc3,qrfpra,QRFPR,hnf4g,gipr,lpar2b,lpar2a,tbxa2r,rxrab,rxraa,casr,ltb4r2b,ltb4r2a,GPR68","Palmitic acid,hexadecanoic acid,palmitic acid,1-Hexyldecanoic acid,1-Pentadecanecarboxylic acid,16:00,C16,C16 Fatty acid,C16:0,Cetylic acid,CH3-[CH2]14-COOH,FA 16:0,Hexadecanoate,Hexadecoic acid,Hexadecylic acid,Hexaectylic acid,N-Hexadecanoic acid,N-Hexadecoic acid,Palmitate,Palmitinic acid,Palmitinsaeure,Pentadecanecarboxylic acid,1-Hexyldecanoate,1-Pentadecanecarboxylate,Cetylate,Hexadecanoic acid,Hexadecoate,Hexadecylate,Hexaectylate,N-Hexadecanoate,N-Hexadecoate,Palmitinate,Pentadecanecarboxylate,Edenor C16,Emersol 140,Emersol 143,Glycon p-45,Hexadecanoate (N-C16:0),Hexadecanoic acid palmitic acid,Hydrofol,Hydrofol acid 1690,Hystrene 8016,Hystrene 9016,Industrene 4516,Kortacid 1698,Loxiol ep 278,Lunac p 95,Lunac p 95KC,Lunac p 98,Palmitoate,Palmitoic acid,PAM,PLM,Prifac 2960,Prifrac 2960,Pristerene 4934,Univol u332,Acid, hexadecanoic,Acid, palmitic,FA(16:0)",NA,NA
92,Docosahexaenoic acid,MAM01689,HMDB0002183,"c,l,r,e,i",",,cel.2,","abca1a,abca1b",NA,"hcar1-3,hcar1-4,rxrab,rxraa,si:dkey-211g8.9","Docosahexaenoic acid,(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid,docosahexaenoic acid,(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid,22:6(N-3),22:6-4, 7,10,13,16,19,4,7,10,13,16,19-Docosahexaenoic acid,all-cis-4,7,10,13,16,19-Docosahexaenoic acid,all-cis-DHA,Cervonic acid,DHA,Doconexent,DOCOSA-4,7,10,13,16,19-hexaenoIC ACID,Docosahexaenoate,4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid,(4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid,(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoate,4,7,10,13,16,19-Docosahexaenoate,all-cis-4,7,10,13,16,19-Docosahexaenoate,Cervonate,DOCOSA-4,7,10,13,16,19-hexaenoate,4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoate,(4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoate,all-Z-Docosahexaenoate,all-Z-Docosahexaenoic acid,cis-4,7,10,13,16,19-Docosahexanoate,cis-4,7,10,13,16,19-Docosahexanoic acid,Doconexento,Doconexentum,Doxonexent,Acids, docosahexaenoic,Acids, docosahexenoic,Docosahexaenoic acid, 4,7,10,13,16,19-(all-Z-isomer),Docosahexaenoic acid (all-Z isomer),Docosahexaenoic acid, 4,7,10,13,16,19-isomer,Efalex,(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-Docosahexaenoic acid,(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexenoic acid,(all-Z)-4,7,10,13,16,19-Docosahexaenoic acid,4-cis,7-cis,10-cis,13-cis,16-cis,19-cis-Docosahexaenoic acid,FA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)),FA(22:6n3),delta4,7,10,13,16,19-Docosahexaenoic acid,Δ4,7,10,13,16,19-docosahexaenoic acid,Choline docosahexaenoate,Choline docosahexaenoic acid,Docosahexaenoylcholine","elovl5,elovl2,elovl6,elovl4a,fads2",NA
96,"Docosapentaenoic acid (22n-6),Docosapentaenoic acid (22n-3)",MAM01741,"HMDB0001976,HMDB0006528","c,l,r,e",",,cel.2,","abca1a,abca1b",NA,NA,NA,"elovl5,elovl2,elovl6,elovl4a,fads2",NA
56,Adrenic acid,MAM01291,HMDB0002226,"c,l,r,e,x",",,cel.2,,,","abca1a,abca1b",NA,"rxrab,rxraa","Adrenic acid,(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoic acid,docosatetraenoic acid,(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid,7,10,13,16-Docosatetraenoic acid,7Z,10Z,13Z,16Z-Docosatetraenoic acid,all-cis-7,10,13,16-Docosatetraenoic acid,cis,cis,cis,cis-Docosa-7,10,13,16-tetraensaeure,(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoate,7,10,13,16-Docosatetraenoate,7Z,10Z,13Z,16Z-Docosatetraenoate,all-cis-7,10,13,16-Docosatetraenoate,Adrenate,Adrenic acid, (Z)-isomer,7,10,13,16-Docosatetraenoic acid (van) adrenate,7,10,13,16-Docosatetraenoic acid (van) adrenic acid,FA(22:4(7Z,10Z,13Z,16Z)),(7Z,10Z,13Z,16Z)-Docosatetraenoate",NA,NA
