"","L","R"
"1","Deoxycytidine","EPHA2"
"2","Inosine","SELP"
"3","Uridine","P2RY6"
"4","Uridine","HTR1A"
"5","Uridine","HTR2A"
"6","Uridine","TLR7"
"7","Allopregnanolone","GABRA1;GABRG2;GABRB2"
"8","Allopregnanolone","NR1I2"
"9","Allopregnanolone","TRPM3"
"10","Dihydroandrosterone","GPBAR1"
"11","Dihydroandrosterone","ESR2"
"12","Dihydroandrosterone","AR"
"13","Alloepipregnanolone","NR1I2"
"14","Alloepipregnanolone","TRPM3"
"15","Alloepipregnanolone","GABRA1"
"16","Alloepipregnanolone","GABRA2"
"17","Alloepipregnanolone","GABRA4"
"18","Alloepipregnanolone","GABRA6"
"19","Alloepipregnanolone","GABRD"
"20","Alloepipregnanolone","GABRG2"
"21","Maltotetraose","SCARF1"
"22","D-Fructose","NR2F1"
"23","2-Methoxyestradiol","TNFRSF10B"
"24","Uracil","GPR17"
"25","Trihexosylceramide (d18:1/26:1(17Z))","CD1D"
"26","4-Hydroxybutyric acid","GABRB1"
"27","Phytanic acid","PPARA"
"28","Phytanic acid","PPARD"
"29","Phytanic acid","PPARG"
"30","Phytanic acid","RXRB"
"31","Eicosadienoic acid","CNTN1"
"32","Eicosadienoic acid","F3"
"33","Adrenic acid","FFAR4"
"34","Adrenic acid","RXRA"
"35","Behenic acid","PPARG"
"36","Erucic acid","PPARG"
"37","Docosahexaenoic acid","OXER1"
"38","Docosahexaenoic acid","RXRA"
"39","Docosahexaenoic acid","FFAR1"
"40","Docosahexaenoic acid","PPARG"
"41","Docosahexaenoic acid","FFAR4"
"42","Dihomo-gamma-linolenic acid","OXER1"
"43","Dihomo-gamma-linolenic acid","CNTN1"
"44","Dihomo-gamma-linolenic acid","F3"
"45","Dihomo-gamma-linolenic acid","PPARG"
"46","Dihomo-gamma-linolenic acid","FFAR4"
"47","Docosapentaenoic acid (22n-6),Docosapentaenoic acid (22n-3)","FFAR4"
"48","Docosapentaenoic acid (22n-6),Docosapentaenoic acid (22n-3)","RXRA"
"49","Arachidic acid","PPARG"
"50","Eicosapentaenoic acid","OXER1"
"51","Eicosapentaenoic acid","CNTN1"
"52","Eicosapentaenoic acid","F3"
"53","Eicosapentaenoic acid","PPARG"
"54","Eicosapentaenoic acid","RXRA"
"55","Eicosapentaenoic acid","MUSK"
"56","Eicosapentaenoic acid","FFAR1"
"57","Eicosapentaenoic acid","PPARD"
"58","Eicosapentaenoic acid","PPARA"
"59","Eicosapentaenoic acid","ABCB4"
"60","Eicosapentaenoic acid","GRM1"
"61","Eicosapentaenoic acid","TNFRSF21"
"62","Eicosapentaenoic acid","CD36"
"63","Eicosapentaenoic acid","TAS1R3"
"64","Eicosapentaenoic acid","FFAR4"
"65","Eicosapentaenoic acid","ABCA1"
"66","Eicosapentaenoic acid","TAS1R2"
"67","Eicosapentaenoic acid","TRPV1"
"68","Linoleic acid","CNTN1"
"69","Linoleic acid","F3"
"70","Linoleic acid","PPARG"
"71","Linoleic acid","FFAR4"
"72","Linoleic acid","FFAR1"
"73","Linoleic acid","PPARA"
"74","Linoleic acid","ABCB4"
"75","Linoleic acid","VCAM1"
"76","Linoleic acid","TNFRSF21"
"77","Linoleic acid","CD36"
"78","Linoleic acid","OLR1"
"79","Linoleic acid","SELE"
"80","Linoleic acid","SDC4"
"81","Linoleic acid","ABCA1"
"82","Linoleic acid","RXRA"
"83","Linoleic acid","AHR"
"84","Linoleic acid","PPARD"
"85","Elaidic acid","ABCG2"
"86","Elaidic acid","LRP1"
"87","Elaidic acid","FFAR1"
"88","Elaidic acid","RARA"
"89","Elaidic acid","PPARA"
"90","Elaidic acid","ICAM1"
"91","Elaidic acid","PPARG"
"92","Elaidic acid","VCAM1"
"93","Elaidic acid","CAV1"
"94","Elaidic acid","FFAR4"
"95","Elaidic acid","CD44"
"96","Elaidic acid","RXRA"
"97","Oleic acid,Octadec-9-enoic Acid","CNTN1"
"98","Oleic acid,Octadec-9-enoic Acid","F3"
"99","Oleic acid,Octadec-9-enoic Acid","PPARG"
"100","Oleic acid,Octadec-9-enoic Acid","FFAR1"
"101","Oleic acid,Octadec-9-enoic Acid","FFAR4"
"102","Oleic acid,Octadec-9-enoic Acid","ABCG2"
"103","Oleic acid,Octadec-9-enoic Acid","LRP1"
"104","Oleic acid,Octadec-9-enoic Acid","RARA"
"105","Oleic acid,Octadec-9-enoic Acid","PPARA"
"106","Oleic acid,Octadec-9-enoic Acid","ICAM1"
"107","Oleic acid,Octadec-9-enoic Acid","VCAM1"
"108","Oleic acid,Octadec-9-enoic Acid","CAV1"
"109","Oleic acid,Octadec-9-enoic Acid","CD44"
"110","Oleic acid,Octadec-9-enoic Acid","RXRA"
"111","Oleic acid,Octadec-9-enoic Acid","PPARD"
"112","Stearic acid","PPARG"
"113","Stearic acid","ESR1"
"114","Stearic acid","RORA"
"115","Stearic acid","PPARA"
"116","Stearic acid","PPARD"
