"","Compounds","Receptor_genes"
"1","Deoxycytidine","Epha2"
"2","Inosine","Selp"
"3","Allopregnanolone","Nr1i2"
"4","Allopregnanolone","Trpm3"
"5","Dihydroandrosterone","Gpbar1"
"6","Dihydroandrosterone","Esr2"
"7","Dihydroandrosterone","Ar"
"8","Alloepipregnanolone","Nr1i2"
"9","Alloepipregnanolone","Trpm3"
"10","Alloepipregnanolone","Gabra1"
"11","Alloepipregnanolone","Gabra2"
"12","Alloepipregnanolone","Gabra4"
"13","Alloepipregnanolone","Gabra6"
"14","Alloepipregnanolone","Gabrd"
"15","Alloepipregnanolone","Gabrg2"
"16","2-Methoxyestradiol","Tnfrsf10b"
"17","Uracil","Gpr17"
"18","Cyclic AMP","Cnga3"
"19","Cyclic AMP","Esr1"
"20","Cyclic AMP","Cd38"
"21","Cyclic AMP","Trpv4"
"22","Cyclic AMP","Trpc5"
"23","Cyclic AMP","Npr3"
"24","Cyclic AMP","Erbb2"
"25","Cyclic AMP","Gja1"
"26","Cyclic AMP","Gja6"
"27","Cyclic AMP","Tshr"
"28","Cyclic AMP","Ctla4"
"29","Cyclic AMP","Adrb2"
"30","Cyclic AMP","Htr7"
"31","Cyclic AMP","Trpc6"
"32","Cyclic AMP","Adrb3"
"33","Cyclic AMP","Pde4d"
"34","Cyclic AMP","Mylk"
"35","Cyclic AMP","Adrb1"
"36","Cyclic AMP","Cd40lg"
"37","Cyclic AMP","Abcc4"
"38","Cyclic AMP","Thbd"
"39","Cyclic AMP","Hrh2"
"40","Cyclic AMP","Trpc3"
"41","Cyclic AMP","Igfbp3"
"42","Cyclic AMP","Abcc8"
"43","Cyclic AMP","Hcar2"
"44","Cyclic AMP","Fshr"
"45","Cyclic AMP","Ano6"
"46","Cyclic AMP","Pde10a"
"47","Cyclic AMP","Ifnar1"
"48","Cyclic AMP","Avpr2"
"49","Cyclic AMP","Cnr1"
"50","Cyclic AMP","Pcdha4b"
"51","Cyclic AMP","Pcdha4"
"52","Cyclic AMP","Cnr2"
"53","Cyclic AMP","Pcdha6"
"54","Cyclic AMP","Crhr1"
"55","Cyclic AMP","Drd2"
"56","Cyclic AMP","Gipr"
"57","Cyclic AMP","Glp1r"
"58","Cyclic AMP","Gpbar1"
"59","Cyclic AMP","Htr1a"
"60","Cyclic AMP","Oprm1"
"61","Cyclic AMP","Pde4b"
"62","Cyclic AMP","Vipr2"
"63","Cyclic GMP","Cnga1"
"64","Cyclic GMP","Cnga3"
"65","Cyclic GMP","Gucy2f"
"66","Cyclic GMP","Cngb1"
"67","Cyclic GMP","Gucy2e"
"68","Cyclic GMP","Pde6a"
"69","Cyclic GMP","Gucy2c"
"70","Cyclic GMP","Trpv4"
"71","Cyclic GMP","Trpc5"
"72","Cyclic GMP","Pde3b"
"73","Cyclic GMP","Pde11a"
"74","Cyclic GMP","Pde6g"
"75","Cyclic GMP","Pde2a"
"76","Cyclic GMP","Trpc6"
"77","Cyclic GMP","Pde3a"
"78","Cyclic GMP","Pde6c"
"79","Cyclic GMP","Trpc3"
"80","Cyclic GMP","Pde6b"
"81","Cyclic GMP","Pde10a"
"82","Cyclic GMP","Gucy1a1"
"83","Cyclic GMP","Gucy1b1"
"84","CDP","P2ry6"
"85","Deoxyuridine triphosphate","P2ry2"
"86","dUDP","P2ry6"
"87","Trihexosylceramide (d18:1/26:1(17Z))","Cd1d2"
"88","Trihexosylceramide (d18:1/26:1(17Z))","Cd1d1"
"89","4-Hydroxybutyric acid","Gabrb1"
"90","Sphingosine","Aplnr"
"91","Sphingosine","Trpm3"
"92","Sphingosine","Pvr"
"93","Ammonium","Tnfrsf17"
"94","Ammonium","Esr1"
"95","Ammonium","Fcgrt"
"96","Ammonium","Traf2"
"97","Ammonium","Lrp6"
"98","Ammonium","Itga2b"
"99","Ammonium","Itga1"
"100","Ammonium","Pglyrp3"
"101","Ammonium","Itga2"
"102","Ammonium","Crhr2"
"103","Ammonium","Esr2"
"104","Ammonium","Tlr4"
"105","Ammonium","Tgfbr1"
"106","Ammonium","Trpv1"
"107","Ammonium","Grik1"
"108","Ammonium","Grik2"
"109","Ammonium","Igll1"
"110","Eicosadienoic acid","Cntn1"
"111","Eicosadienoic acid","F3"
"112","Adrenic acid","Ffar4"
"113","Adrenic acid","Rxra"
"114","Behenic acid","Pparg"
"115","Erucic acid","Pparg"
"116","Docosahexaenoic acid","Rxra"
"117","Docosahexaenoic acid","Ffar1"
"118","Docosahexaenoic acid","Pparg"
"119","Docosahexaenoic acid","Ffar4"
"120","Dihomo-gamma-linolenic acid","Cntn1"
"121","Dihomo-gamma-linolenic acid","F3"
"122","Dihomo-gamma-linolenic acid","Pparg"
"123","Dihomo-gamma-linolenic acid","Ffar4"
"124","Docosapentaenoic acid (22n-6),Docosapentaenoic acid (22n-3)","Ffar4"
"125","Docosapentaenoic acid (22n-6),Docosapentaenoic acid (22n-3)","Rxra"
"126","Arachidic acid","Pparg"
