"","L","R"
"1","CXCL1","CXCR2"
"2","CXCL2","CXCR2"
"3","CXCL3","CXCR2"
"4","CXCL5","CXCR2"
"5","PPBP","CXCR2"
"6","CXCL6","CXCR2"
"7","CXCL8","CXCR2"
"8","CXCL6","CXCR1"
"9","CXCL8","CXCR1"
"10","CXCL9","CXCR3"
"11","CXCL10","CXCR3"
"12","CXCL11","CXCR3"
"13","CXCL12","CXCR4"
"14","CXCL13","CXCR5"
"15","CXCL16","CXCR6"
"16","XCL1","XCR1"
"17","XCL2","XCR1"
"18","CX3CL1","CX3CR1"
"19","CCL20","CCR6"
"20","CCL25","CCR9"
"21","CCL17","CCR4"
"22","CCL22","CCR4"
"23","CCL19","CCR7"
"24","CCL21","CCR7"
"25","CCL2","CCR2"
"26","CCL4L1","CCR5"
"27","CCL3L3","CCR5"
"28","CCL13","CCR2"
"29","CCL13","CCR3"
"30","CCL7","CCR2"
"31","CCL7","CCR1"
"32","CCL5","CCR5"
"33","CCL5","CCR1"
"34","CCL5","CCR3"
"35","CCL14","CCR1"
"36","CCL16","CCR1"
"37","CCL23","CCR1"
"38","CCL15","CCR1"
"39","CCL15","CCR3"
"40","CCL8","CCR3"
"41","CCL11","CCR3"
"42","CCL24","CCR3"
"43","CCL26","CCR3"
"44","CCL28","CCR3"
"45","CCL28","CCR10"
"46","CCL27","CCR10"
"47","IL6","IL6ST"
"48","IL6","IL6R"
"49","IL11","IL11RA"
"50","IL11","IL6ST"
"51","OSM","LIFR"
"52","OSM","IL6ST"
"53","OSM","OSMR"
"54","LIF","LIFR"
"55","LIF","IL6ST"
"56","CNTF","CNTFR"
"57","CNTF","LIFR"
"58","CNTF","IL6ST"
"59","CLCF1","CNTFR"
"60","CLCF1","LIFR"
"61","CLCF1","IL6ST"
"62","CTF1","LIFR"
"63","CTF1","IL6ST"
"64","CSF3","CSF3R"
"65","LEP","LEPR"
"66","IL4","IL13RA1"
"67","IL4","IL4R"
"68","IL13","IL13RA1"
"69","IL13","IL4R"
"70","IL12A","IL12RB2"
"71","IL12A","IL12RB1"
"72","IL23A","IL12RB1"
"73","IL23A","IL23R"
"74","CSF2","CSF2RB"
"75","CSF2","CSF2RA"
"76","IL3","IL3RA"
"77","IL3","CSF2RB"
"78","IL5","IL5RA"
"79","IL5","CSF2RB"
"80","IL2","IL2RG"
"81","IL2","IL2RB"
"82","IL2","IL2RA"
"83","IL4","IL2RG"
"84","IL7","IL7R"
"85","IL7","IL2RG"
"86","IL9","IL9R"
"87","IL9","IL2RG"
"88","IL15","IL2RG"
"89","IL15","IL15RA"
"90","IL15","IL2RB"
"91","IL21","IL2RG"
"92","IL21","IL21R"
"93","TSLP","CRLF2"
"94","TSLP","IL7R"
"95","EPO","EPOR"
"96","GH1","GHR"
"97","GH2","GHR"
"98","PRL","PRLR"
"99","THPO","MPL"
"100","PDGFC","PDGFRA"
"101","PDGFA","PDGFRA"
"102","PDGFA","PDGFRB"
"103","PDGFB","PDGFRA"
"104","PDGFB","PDGFRB"
"105","VEGFB","FLT1"
"106","VEGFA","FLT1"
"107","VEGFA","KDR"
"108","VEGFD","KDR"
"109","VEGFD","FLT4"
"110","HGF","MET"
"111","EGF","EGFR"
