"","L","R"
"1","Cxcl3","Cxcr2"
"2","Cxcl2","Cxcr2"
"3","Cxcl1","Cxcr2"
"9","Cxcl5","Cxcr2"
"10","Ppbp","Cxcr2"
"12","Cxcl5","Cxcr1"
"13","Cxcl9","Cxcr3"
"14","Cxcl10","Cxcr3"
"15","Cxcl11","Cxcr3"
"16","Cxcl12","Cxcr4"
"17","Cxcl13","Cxcr5"
"18","Cxcl16","Cxcr6"
"19","Xcl1","Xcr1"
"21","Cx3cl1","Cx3cr1"
"22","Ccl20","Ccr6"
"23","Ccl25","Ccr9"
"24","Ccl17","Ccr4"
"25","Ccl22","Ccr4"
"26","Ccl19","Ccr7"
"27","Ccl19-ps3","Ccr7"
"28","Ccl19-ps6","Ccr7"
"29","Ccl19-ps5","Ccr7"
"30","Ccl19-ps1","Ccr7"
"31","Ccl19-ps4","Ccr7"
"32","Ccl21b","Ccr7"
"33","Ccl21f","Ccr7"
"34","Ccl21e","Ccr7"
"35","Ccl21d","Ccr7"
"36","Ccl21a","Ccr7"
"37","Ccl12","Ccr2"
"38","Ccl2","Ccr2"
"39","Ccl4","Ccr5"
"40","Ccl3","Ccr5"
"42","Ccl2","Ccr3"
"43","Ccl7","Ccr2"
"44","Ccl7","Ccr1"
"45","Ccl7","Ccr1l1"
"46","Ccl5","Ccr5"
"47","Ccl5","Ccr1"
"48","Ccl5","Ccr1l1"
"49","Ccl5","Ccr3"
"50","Ccl9","Ccr1"
"51","Ccl9","Ccr1l1"
"52","Ccl6","Ccr1"
"53","Ccl6","Ccr1l1"
"58","Ccl9","Ccr3"
"59","Ccl6","Ccr3"
"60","Ccl8","Ccr3"
"61","Ccl11","Ccr3"
"62","Ccl24","Ccr3"
"63","Ccl26","Ccr3"
"64","Ccl28","Ccr3"
"65","Ccl28","Ccr10"
"66","Ccl27a","Ccr10"
"67","Ccl27b","Ccr10"
"68","Ccl27al","Ccr10"
"69","Il6","Il6st"
"70","Il6","Il6ra"
"71","Il11","Il11ra3"
"72","Il11","Il11ra2"
"73","Il11","Il11ra1"
"74","Il11","Il6st"
"75","Osm","Lifr"
"76","Osm","Il6st"
"77","Osm","Osmr"
"78","Lif","Lifr"
"79","Lif","Il6st"
"80","Cntf","Cntfr"
"81","Cntf","Lifr"
"82","Cntf","Il6st"
"83","Clcf1","Cntfr"
"84","Clcf1","Lifr"
"85","Clcf1","Il6st"
"86","Ctf1","Lifr"
"87","Ctf1","Il6st"
"88","Csf3","Csf3r"
"89","Lep","Lepr"
"90","Il4","Il13ra1"
"91","Il4","Il4ra"
"92","Il13","Il13ra1"
"93","Il13","Il4ra"
"94","Il12a","Il12rb2"
"95","Il12a","Il12rb1"
"96","Il23a","Il12rb1"
"97","Il23a","Il23r"
"98","Csf2","Csf2rb2"
"99","Csf2","Csf2rb"
"100","Csf2","Csf2ra"
"101","Il3","Il3ra"
"102","Il3","Csf2rb2"
"103","Il3","Csf2rb"
"104","Il5","Il5ra"
"105","Il5","Csf2rb2"
"106","Il5","Csf2rb"
"107","Il2","Il2rg"
"108","Il2","Il2rb"
"109","Il2","Il2ra"
"110","Il4","Il2rg"
"111","Il7","Il7r"
"112","Il7","Il2rg"
"113","Il9","Il9r"
"114","Il9","Il2rg"
"115","Il15","Il2rg"
"116","Il15","Il15ra"
"117","Il15","Il2rb"
"118","Il21","Il2rg"
"119","Il21","Il21r"
"120","Tslp","Crlf2"
"121","Tslp","Il7r"
"122","Epo","Epor"
"123","Gh","Ghr"
"125","Prl","Prlr"
"126","Thpo","Mpl"
"127","Pdgfc","Pdgfra"
"128","Pdgfa","Pdgfra"
"129","Pdgfa","Pdgfrb"
"130","Pdgfb","Pdgfra"
"131","Pdgfb","Pdgfrb"
"132","Vegfb","Flt1"
"133","Vegfa","Flt1"
"134","Vegfa","Kdr"
"135","Vegfd","Kdr"
"136","Vegfd","Flt4"
"137","Hgf","Met"
"138","Egf","Egfr"
"139","Csf1","Csf1r"
"140","Kitl","Kit"
"141","Flt3l","Flt3"
"142","Ifna14","Ifnar2"
"143","Ifna9","Ifnar2"
"144","Ifna15","Ifnar2"
"145","Ifna2","Ifnar2"
"146","Ifna13","Ifnar2"
"147","Ifna4","Ifnar2"
"148","Ifna11","Ifnar2"
"149","Ifna12","Ifnar2"
"150","Ifna7","Ifnar2"
"151","Ifna6","Ifnar2"
"152","Ifna5","Ifnar2"
"153","Ifnab","Ifnar2"
"154","Ifna16","Ifnar2"
"155","Ifna1","Ifnar2"
"156","Ifna14","Ifnar1"
"157","Ifna9","Ifnar1"
"158","Ifna15","Ifnar1"
"159","Ifna2","Ifnar1"
"160","Ifna13","Ifnar1"
"161","Ifna4","Ifnar1"
"162","Ifna11","Ifnar1"
"163","Ifna12","Ifnar1"
"164","Ifna7","Ifnar1"
"165","Ifna6","Ifnar1"
"166","Ifna5","Ifnar1"
"167","Ifnab","Ifnar1"
"168","Ifna16","Ifnar1"
"169","Ifna1","Ifnar1"
"170","Ifnb1","Ifnar2"
"171","Ifnb1","Ifnar1"
"172","Ifnk","Ifnar2"
"173","Ifnk","Ifnar1"
"174","Ifne","Ifnar2"
"175","Ifne","Ifnar1"
"176","Ifng","Ifngr2"
"177","Ifng","Ifngr1"
"178","Il10","Il10rb"
"179","Il10","Il10ra"
"180","Il19","Il20ra"
"181","Il20","Il20ra"
"182","Il20","Il22ra1"
"183","Il24","Il20ra"
"184","Il24","Il22ra1"
"185","Il22","Il10rb"
"186","Il22b","Il10rb"
"187","Il22","Il22ra1"
"188","Il22b","Il22ra1"
"189","Il22","Il22ra2"
