"","L","R"
"1","CR762483.1","cxcr2"
"2","cxcl20","cxcr2"
"3","cxcl18b","cxcr2"
"4","cxcl11.8","cxcr3.1"
"5","cxcl11.8","cxcr3.3"
"6","cxcl11.6","cxcr3.1"
"7","cxcl11.6","cxcr3.3"
"8","BX323596.1","cxcr3.1"
"9","BX323596.1","cxcr3.3"
"10","cxcl11.5","cxcr3.1"
"11","cxcl11.5","cxcr3.3"
"14","BX323596.2","cxcr3.1"
"15","BX323596.2","cxcr3.3"
"16","cxcl12b","cxcr4b"
"17","cxcl12b","cxcr4a"
"18","cxcl12a","cxcr4b"
"19","cxcl12a","cxcr4a"
"20","cxcl32b.1","xcr1a.1"
"21","cxcl32b.1","xcr1b.1"
"24","ccl38a.4","ccr9a"
"25","ccl38a.4","ccr9b"
"26","ccl38a.5","ccr9a"
"27","ccl38a.5","ccr9b"
"28","ccl38.6","ccr9a"
"29","ccl38.6","ccr9b"
"30","ccl38.1","ccr9a"
"31","ccl38.1","ccr9b"
"32","ccl35.1","ccr2"
"33","ccl35.1","ccr11.1"
"35","ccl35.2","ccr2"
"36","ccl35.2","ccr11.1"
"44","cxcl32b.1","ccr2"
"45","cxcl32b.1","ccr11.1"
"131","ccl27a","ccr2"
"132","ccl27a","ccr11.1"
"134","ccl27b","ccr2"
"135","ccl27b","ccr11.1"
"137","ccl27a","ccr10"
"138","ccl27b","ccr10"
"141","il11b","il11ra"
"142","il11b","il6r"
"143","il11b","ghrb"
"144","il11b","ghra"
"145","il11a","il11ra"
"146","il11a","il6r"
"147","il11a","ghrb"
"148","il11a","ghra"
"149","m17","cntfr"
"150","m17","osmr"
"151","clcf1","cntfr"
"152","clcf1","osmr"
"153","csf3a","csf3r"
"154","csf3b","csf3r"
"155","il12a","il23r"
"156","zmp:0000001127","il23r"
"157","il12a","lifrb"
"158","il12a","lifra"
"159","il12a","il11ra"
"160","il12a","il6r"
"161","il12a","ghrb"
"162","il12a","ghra"
"163","zmp:0000001127","lifrb"
"164","zmp:0000001127","lifra"
"165","zmp:0000001127","il11ra"
"166","zmp:0000001127","il6r"
"167","zmp:0000001127","ghrb"
"168","zmp:0000001127","ghra"
"169","il15","lifrb"
"170","il15","lifra"
"171","il15","il11ra"
"172","il15","il6r"
"173","il15","il2rgb"
"174","il15","il2rga"
"175","il15","BX601644.2"
"176","il15","ghrb"
"177","il15","ghra"
"178","il15l","lifrb"
"179","il15l","lifra"
"180","il15l","il11ra"
"181","il15l","il6r"
"182","il15l","il2rgb"
"183","il15l","il2rga"
"184","il15l","BX601644.2"
"185","il15l","ghrb"
"186","il15l","ghra"
"187","il15","il15ra"
"188","il15l","il15ra"
"189","il15","il21r.1"
"190","il15","csf2rb"
"191","il15","il2rb"
"192","il15l","il21r.1"
"193","il15l","csf2rb"
"194","il15l","il2rb"
"195","epob","epor"
"196","epoa","epor"
"197","gh1","il11ra"
"198","gh1","il6r"
"199","gh1","ghrb"
"200","gh1","ghra"
"205","prl","prlrb"
"206","prl","prlra"
"207","thpo","mpl"
"208","pdgfc","pdgfra"
"209","pdgfaa","pdgfra"
"211","pdgfab","pdgfra"
"212","pdgfaa","pdgfrb"
"214","pdgfab","pdgfrb"
"215","pdgfbb","pdgfra"
"216","pdgfba","pdgfra"
"217","pdgfbb","pdgfrb"
"218","pdgfba","pdgfrb"
"219","vegfbb","flt1"
"220","vegfba","flt1"
"221","vegfaa","flt1"
"222","vegfab","flt1"
"223","vegfaa","kdr"
"224","vegfab","kdr"
"225","vegfd","kdr"
"226","vegfd","flt4"
"227","hgfa","met"
"228","hgfa","CABZ01071972.1"
"229","hgfb","met"
